hour,disturbance_gen,disturbance_size,δ_stab,overspeed,underspeed,end_time,out_of_step,out_of_step_time,nadir,nadir_time
23,pv_N3_1,478.0,true,false,false,20.0,false,0.0,49.66674769490238,2.5116666667
23,pv_Q7_1,629.0,true,false,false,20.0,false,0.0,49.606707619606446,8.6516666667
23,pv_Q8_1,1590.0,true,false,false,20.0,false,0.0,49.036482679440745,8.9816666667
23,pv_V1_1,584.0,true,false,false,20.0,false,0.0,49.61322977732575,8.2116666667
23,pv_V5_1,501.0,true,false,false,20.0,false,0.0,49.6668522587913,8.2516666667
23,wtg_N3_1,502.0,true,false,false,20.0,false,0.0,49.578502479513354,1.9516666667
23,wtg_Q9_1,757.0,true,false,false,20.0,false,0.0,48.815297095132756,3.4433333333
23,wtg_V3_1,370.0,true,false,false,20.0,false,0.0,49.69939466737664,2.0716666667
23,wtg_V5_1,1001.0,true,false,false,20.0,false,0.0,49.27564291884137,8.1216666667
24,gen_1149,587.0,true,false,false,20.0,false,0.0,49.61544582993782,8.3616666667
24,pv_N3_1,424.0,true,false,false,20.0,false,0.0,49.697591515564575,2.5016666667
24,pv_Q7_1,667.0,true,false,false,20.0,false,0.0,49.58746208613512,8.6816666667
24,pv_Q8_1,1692.0,true,false,false,20.0,false,0.0,48.9686703691241,9.0116666667
24,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.611124481368144,8.2116666667
24,pv_V3_1,390.0,true,false,false,20.0,false,0.0,49.72781555587157,2.3216666667
24,wtg_N3_1,468.0,true,false,false,20.0,false,0.0,49.60613012705679,1.9516666667
24,wtg_Q9_1,802.0,true,false,false,20.0,false,0.0,48.77475153923302,3.4966666667
24,wtg_V3_1,408.0,true,false,false,20.0,false,0.0,49.68037871014532,2.1016666667
24,wtg_V5_1,984.0,true,false,false,20.0,false,0.0,49.287297334118755,2.4416666667
25,gen_1149,663.0,true,false,false,20.0,false,0.0,49.588941555977975,8.2516666667
25,pv_N3_1,515.0,true,false,false,20.0,false,0.0,49.661024372261956,7.9816666667
25,pv_Q7_1,602.0,true,false,false,20.0,false,0.0,49.52010037119386,9.1416666667
