name,x,y
bus_3203,3063.0,10180.0
bus_3204,3069.0,10152.0
bus_3205,3046.0,10155.0
bus_3206,3025.0,10204.0
bus_3209,3177.0,13404.0
bus_3211,2830.0,13609.0
bus_3213,2566.0,9574.0
bus_3214,2921.0,9536.0
bus_3215,2888.0,13632.0
bus_3220,2267.0,11621.0
bus_3221,2195.0,11639.0
bus_3222,3113.0,10006.0
bus_3223,2738.0,13675.0
bus_3224,2737.0,13777.0
bus_3225,2045.0,13572.0
bus_3226,3028.0,10092.0
bus_3227,2957.0,10156.0
bus_3228,2946.0,10136.0
bus_3229,3423.0,9766.0
bus_3230,3419.0,9836.0
bus_3231,2994.0,9901.0
bus_3232,3941.0,12184.0
bus_3233,2863.0,11293.0
bus_3236,3141.0,9475.0
bus_3237,3586.0,10955.0
